x y solution
0 0 0
0.015873 0 0.00897717
0.031746 0 0.0178651
0.047619 0 0.0265755
0.0634921 0 0.0350218
0.0793651 0 0.04312
0.0952381 0 0.0507897
0.111111 0 0.0579546
0.126984 0 0.0645435
0.142857 0 0.070491
0.15873 0 0.0757379
0.174603 0 0.080232
0.190476 0 0.0839288
0.206349 0 0.0867915
0.222222 0 0.0887916
0.238095 0 0.0899092
0.253968 0 0.0901333
0.269841 0 0.0894616
0.285714 0 0.0879008
0.301587 0 0.0854664
0.31746 0 0.0821826
0.333333 0 0.078082
0.349206 0 0.0732054
0.365079 0 0.0676013
0.380952 0 0.0613253
0.396825 0 0.0544398
0.412698 0 0.0470133
0.428571 0 0.0391195
0.444444 0 0.030837
0.460317 0 0.022248
0.47619 0 0.0134378
0.492063 0 0.00449417
0.507937 0 -0.00449417
0.52381 0 -0.0134378
0.539683 0 -0.022248
0.555556 0 -0.030837
0.571429 0 -0.0391195
0.587302 0 -0.0470133
0.603175 0 -0.0544398
0.619048 0 -0.0613253
0.634921 0 -0.0676013
0.650794 0 -0.0732054
0.666667 0 -0.078082
0.68254 0 -0.0821826
0.698413 0 -0.0854664
0.714286 0 -0.0879008
0.730159 0 -0.0894616
0.746032 0 -0.0901333
0.761905 0 -0.0899092
0.777778 0 -0.0887916
0.793651 0 -0.0867915
0.809524 0 -0.0839288
0.825397 0 -0.080232
0.84127 0 -0.0757379
0.857143 0 -0.070491
0.873016 0 -0.0645435
0.888889 0 -0.0579546
0.904762 0 -0.0507897
0.920635 0 -0.04312
0.936508 0 -0.0350218
0.952381 0 -0.0265755
0.968254 0 -0.0178651
0.984127 0 -0.00897717
1 0 0
0 0.015873 0
0.015873 0.015873 0.0180436
0.031746 0.015873 0.0359078
0.047619 0.015873 0.0534152
0.0634921 0.015873 0.0703917
0.0793651 0.015873 0.0866686
0.0952381 0.015873 0.102084
0.111111 0.015873 0.116485
0.126984 0.015873 0.129729
0.142857 0.015873 0.141683
0.15873 0.015873 0.152229
0.174603 0.015873 0.161262
0.190476 0.015873 0.168692
0.206349 0.015873 0.174446
0.222222 0.015873 0.178466
0.238095 0.015873 0.180712
0.253968 0.015873 0.181163
0.269841 0.015873 0.179812
0.285714 0.015873 0.176675
0.301587 0.015873 0.171782
0.31746 0.015873 0.165182
0.333333 0.015873 0.15694
0.349206 0.015873 0.147138
0.365079 0.015873 0.135874
0.380952 0.015873 0.12326
0.396825 0.015873 0.109421
0.412698 0.015873 0.0944939
0.428571 0.015873 0.0786279
0.444444 0.015873 0.0619805
0.460317 0.015873 0.0447171
0.47619 0.015873 0.0270093
0.492063 0.015873 0.00903301
0.507937 0.015873 -0.00903301
0.52381 0.015873 -0.0270093
0.539683 0.015873 -0.0447171
0.555556 0.015873 -0.0619805
0.571429 0.015873 -0.0786279
0.587302 0.015873 -0.0944939
0.603175 0.015873 -0.109421
0.619048 0.015873 -0.12326
0.634921 0.015873 -0.135874
0.650794 0.015873 -0.147138
0.666667 0.015873 -0.15694
0.68254 0.015873 -0.165182
0.698413 0.015873 -0.171782
0.714286 0.015873 -0.176675
0.730159 0.015873 -0.179812
0.746032 0.015873 -0.181163
0.761905 0.015873 -0.180712
0.777778 0.015873 -0.178466
0.793651 0.015873 -0.174446
0.809524 0.015873 -0.168692
0.825397 0.015873 -0.161262
0.84127 0.015873 -0.152229
0.857143 0.015873 -0.141683
0.873016 0.015873 -0.129729
0.888889 0.015873 -0.116485
0.904762 0.015873 -0.102084
0.920635 0.015873 -0.0866686
0.936508 0.015873 -0.0703917
0.952381 0.015873 -0.0534152
0.968254 0.015873 -0.0359078
0.984127 0.015873 -0.0180436
1 0.015873 0
0 0.031746 0
0.015873 0.031746 0.0270921
0.031746 0.031746 0.053915
0.047619 0.031746 0.080202
0.0634921 0.031746 0.105692
0.0793651 0.031746 0.130131
0.0952381 0.031746 0.153278
0.111111 0.031746 0.174901
0.126984 0.031746 0.194785
0.142857 0.031746 0.212734
0.15873 0.031746 0.228568
0.174603 0.031746 0.242131
0.190476 0.031746 0.253288
0.206349 0.031746 0.261927
0.222222 0.031746 0.267963
0.238095 0.031746 0.271336
0.253968 0.031746 0.272012
0.269841 0.031746 0.269985
0.285714 0.031746 0.265275
0.301587 0.031746 0.257928
0.31746 0.031746 0.248018
0.333333 0.031746 0.235643
0.349206 0.031746 0.220926
0.365079 0.031746 0.204013
0.380952 0.031746 0.185073
0.396825 0.031746 0.164293
0.412698 0.031746 0.141881
0.428571 0.031746 0.118058
0.444444 0.031746 0.0930626
0.460317 0.031746 0.0671419
0.47619 0.031746 0.0405539
0.492063 0.031746 0.0135629
0.507937 0.031746 -0.0135629
0.52381 0.031746 -0.0405539
0.539683 0.031746 -0.0671419
0.555556 0.031746 -0.0930626
0.571429 0.031746 -0.118058
0.587302 0.031746 -0.141881
0.603175 0.031746 -0.164293
0.619048 0.031746 -0.185073
